rootlength,Hair Root length,Sample,Genotype,Treatment
2.41,1.56,ga1-13_GA,ga1-13,GA
4.07,2,ga1-13_GA,ga1-13,GA
5.07,1.75,ga1-13_GA,ga1-13,GA
2.37,2.67,ga1-13_GA,ga1-13,GA
3.75,2.07,ga1-13_GA,ga1-13,GA
5.86,1.86,ga1-13_GA,ga1-13,GA
4.08,3.36,ga1-13_GA,ga1-13,GA
4.97,2.84,ga1-13_GA,ga1-13,GA
4.49,2.24,ga1-13_GA,ga1-13,GA
5.77,2.63,ga1-13_GA,ga1-13,GA
4.24,3.54,ga1-13_GA,ga1-13,GA
5.55,2.53,ga1-13_GA,ga1-13,GA
4.67,1.88,ga1-13_GA,ga1-13,GA
4.46,3.03,ga1-13_GA,ga1-13,GA
2.26,2.24,ga1-13_GA,ga1-13,GA
4.54,2.26,ga1-13_GA,ga1-13,GA
4.44,1.48,ga1-13_GA,ga1-13,GA
2.28,1.97,ga1-13_GA,ga1-13,GA
2.63,2.59,ga1-13_GA,ga1-13,GA
4.21,2.36,ga1-13_GA,ga1-13,GA
4.31,1.84,ga1-13_GA,ga1-13,GA
3.63,1.99,ga1-13_GA,ga1-13,GA
1.89,1.84,ga1-13_GA,ga1-13,GA
6.18,3.27,ga1-13_GA,ga1-13,GA
3.85,1.67,ga1-13_GA,ga1-13,GA
3.01,1.8,ga1-13_GA,ga1-13,GA
6.63,3.93,ga1-13_GA,ga1-13,GA
4.03,1.54,ga1-13_GA,ga1-13,GA
4.35,2.11,ga1-13_GA,ga1-13,GA
5.35,1.79,ga1-13_GA,ga1-13,GA
4.35,3.3,ga1-13_GA,ga1-13,GA
3.61,3.04,ga1-13_GA,ga1-13,GA
2.17,2.53,ga1-13_GA,ga1-13,GA
6.01,2.41,ga1-13_GA,ga1-13,GA
5.13,2.49,ga1-13_GA,ga1-13,GA
4.4,3.41,ga1-13_GA,ga1-13,GA
3.49,2.45,ga1-13_GA,ga1-13,GA
4.13,2.36,ga1-13_GA,ga1-13,GA
5.57,2.16,ga1-13_GA,ga1-13,GA
3.16,2.66,ga1-13_GA,ga1-13,GA
3.39,3.21,ga1-13_GA,ga1-13,GA
3.54,3.34,ga1-13_GA,ga1-13,GA
4.31,2.13,ga1-13_GA,ga1-13,GA
2.21,3.03,ga1-13_GA,ga1-13,GA
5.5,2.54,ga1-13_GA,ga1-13,GA
2.15,1.82,ga1-13_GA,ga1-13,GA
2.86,2.69,ga1-13_GA,ga1-13,GA
4.31,1.5,ga1-13_GA,ga1-13,GA
3.77,1.78,ga1-13_GA,ga1-13,GA
5.65,3.12,ga1-13_GA,ga1-13,GA
5.07,2.03,ga1-13_GA,ga1-13,GA
3.18,2.36,ga1-13_GA,ga1-13,GA
4.05,2.46,ga1-13_GA,ga1-13,GA
3.4,3.22,ga1-13_GA,ga1-13,GA
4.33,2.56,ga1-13_GA,ga1-13,GA
3.53,1.79,ga1-13_GA,ga1-13,GA
3.12,2.53,ga1-13_GA,ga1-13,GA
4.58,2.03,ga1-13_GA,ga1-13,GA
3.55,2.72,ga1-13_GA,ga1-13,GA
4.26,3.3,ga1-13_GA,ga1-13,GA
4.95,2.62,ga1-13_GA,ga1-13,GA
3.43,1.61,ga1-13_GA,ga1-13,GA
3.81,2.03,ga1-13_GA,ga1-13,GA
1.95,3.06,ga1-13_GA,ga1-13,GA
4.91,2.45,ga1-13_GA,ga1-13,GA
3.9,2.4,ga1-13_GA,ga1-13,GA
4.38,2.11,ga1-13_GA,ga1-13,GA
5.04,1.33,ga1-13_GA,ga1-13,GA
3.52,2.16,ga1-13_GA,ga1-13,GA
4.16,1.12,ga1-13_GA,ga1-13,GA
4.58,2.7,ga1-13_GA,ga1-13,GA
4.51,2.72,ga1-13_GA,ga1-13,GA
2.93,2.66,ga1-13_GA,ga1-13,GA
3.15,2.23,ga1-13_GA,ga1-13,GA
3.88,2.23,ga1-13_GA,ga1-13,GA
4.89,3.2,ga1-13_GA,ga1-13,GA
4.98,2.21,ga1-13_GA,ga1-13,GA
4.08,2.44,ga1-13_GA,ga1-13,GA
6.16,2.78,ga1-13_GA,ga1-13,GA
3.25,2.48,ga1-13_GA,ga1-13,GA
3.81,2.45,ga1-13_GA,ga1-13,GA
4.48,2.42,ga1-13_GA,ga1-13,GA
4,2.37,ga1-13_GA,ga1-13,GA
4.39,1.95,ga1-13_GA,ga1-13,GA
2.07,3.07,ga1-13_GA,ga1-13,GA
4.57,1.95,ga1-13_GA,ga1-13,GA
3.75,3.14,ga1-13_GA,ga1-13,GA
5.84,2.44,ga1-13_GA,ga1-13,GA
2.27,2.15,ga1-13_GA,ga1-13,GA
3.84,1.35,ga1-13_GA,ga1-13,GA
5.26,1.46,ga1-13_GA,ga1-13,GA
2.59,2.7,ga1-13_GA,ga1-13,GA
4.11,3.32,ga1-13_GA,ga1-13,GA
4.15,1.78,ga1-13_GA,ga1-13,GA
5.25,3.58,ga1-13_GA,ga1-13,GA
3.99,2.67,ga1-13_GA,ga1-13,GA
3.85,3.5,ga1-13_GA,ga1-13,GA
4.39,3.51,ga1-13_GA,ga1-13,GA
4.04,2.86,ga1-13_GA,ga1-13,GA
2.97,1.8,ga1-13_GA,ga1-13,GA
4.97,2.35,ga1-13_GA,ga1-13,GA
4.09,1.53,ga1-13_GA,ga1-13,GA
3.79,2.93,ga1-13_GA,ga1-13,GA
4.48,2.09,ga1-13_GA,ga1-13,GA
2.72,3.02,ga1-13_GA,ga1-13,GA
5.25,1.83,ga1-13_GA,ga1-13,GA
3.76,3.76,ga1-13_GA,ga1-13,GA
3.78,2.7,ga1-13_GA,ga1-13,GA
4.95,1.85,ga1-13_GA,ga1-13,GA
4,2.86,ga1-13_GA,ga1-13,GA
3.37,2.4,ga1-13_GA,ga1-13,GA
3.14,1.5,ga1-13_GA,ga1-13,GA
2.62,1.97,ga1-13_GA,ga1-13,GA
6.58,1.55,ga1-13_GA,ga1-13,GA
5.22,2.61,ga1-13_GA,ga1-13,GA
3.44,3.03,ga1-13_GA,ga1-13,GA
4.28,1.42,ga1-13_GA,ga1-13,GA
1.68,2.18,ga1-13_GA,ga1-13,GA
3.92,3.08,ga1-13_GA,ga1-13,GA
3.91,2.44,ga1-13_GA,ga1-13,GA
3.01,2.26,ga1-13_GA,ga1-13,GA
3.21,1.42,ga1-13_GA,ga1-13,GA
2.32,2.9,ga1-13_GA,ga1-13,GA
4.74,3.12,ga1-13_GA,ga1-13,GA
4.88,2.36,ga1-13_GA,ga1-13,GA
0.89,2.13,ga1-13_GA,ga1-13,GA
3.57,1.29,ga1-13_GA,ga1-13,GA
4.79,2.88,ga1-13_GA,ga1-13,GA
5.15,3.79,ga1-13_GA,ga1-13,GA
4.21,3.3,ga1-13_GA,ga1-13,GA
3.9,2.75,ga1-13_GA,ga1-13,GA
3.78,2.04,ga1-13_GA,ga1-13,GA
3.76,2.34,ga1-13_GA,ga1-13,GA
3.95,2.44,ga1-13_GA,ga1-13,GA
3.47,2.76,ga1-13_GA,ga1-13,GA
4.7,1.7,ga1-13_GA,ga1-13,GA
3.28,1.07,ga1-13_GA,ga1-13,GA
5.4,1.61,ga1-13_GA,ga1-13,GA
3.64,2.46,ga1-13_GA,ga1-13,GA
4.21,3.2,ga1-13_GA,ga1-13,GA
5.49,1.48,ga1-13_GA,ga1-13,GA
4.59,3,ga1-13_GA,ga1-13,GA
3.7,1.96,ga1-13_GA,ga1-13,GA
3.67,3.59,ga1-13_GA,ga1-13,GA
4.65,2.97,ga1-13_GA,ga1-13,GA
4.66,2.73,ga1-13_GA,ga1-13,GA
3.21,3.18,ga1-13_GA,ga1-13,GA
2.98,2.23,ga1-13_GA,ga1-13,GA
2.65,2.67,ga1-13_GA,ga1-13,GA
2.98,3.49,ga1-13_GA,ga1-13,GA
3.66,3.18,ga1-13_GA,ga1-13,GA
5.32,1.29,ga1-13_GA,ga1-13,GA
3.2,1.75,ga1-13_GA,ga1-13,GA
4.27,2.45,ga1-13_GA,ga1-13,GA
5.41,2.72,ga1-13_GA,ga1-13,GA
4.65,1.97,ga1-13_GA,ga1-13,GA
3.68,1.59,ga1-13_GA,ga1-13,GA
5.02,2.05,ga1-13_GA,ga1-13,GA
5.38,3.2,ga1-13_GA,ga1-13,GA
3.62,3.01,ga1-13_GA,ga1-13,GA
4.35,2.64,ga1-13_GA,ga1-13,GA
2.82,2.45,ga1-13_GA,ga1-13,GA
4.56,2.14,ga1-13_GA,ga1-13,GA
2.17,2.83,ga1-13_GA,ga1-13,GA
3.65,3.11,ga1-13_GA,ga1-13,GA
2.07,2.2,ga1-13_GA,ga1-13,GA
3.77,1.85,ga1-13_GA,ga1-13,GA
4.84,1.33,ga1-13_GA,ga1-13,GA
2.82,2.02,ga1-13_GA,ga1-13,GA
3.65,2.37,ga1-13_GA,ga1-13,GA
3.81,2.44,ga1-13_GA,ga1-13,GA
3.61,2.99,ga1-13_GA,ga1-13,GA
3.34,1.13,ga1-13_GA,ga1-13,GA
3.51,1.27,ga1-13_GA,ga1-13,GA
3.58,2.35,ga1-13_GA,ga1-13,GA
4.54,2.11,ga1-13_GA,ga1-13,GA
4.45,1.6,ga1-13_GA,ga1-13,GA
5.78,3.19,ga1-13_GA,ga1-13,GA
3.6,1.71,ga1-13_GA,ga1-13,GA
4.25,3.07,ga1-13_GA,ga1-13,GA
4.53,1.85,ga1-13_GA,ga1-13,GA
1.61,2.58,ga1-13_GA,ga1-13,GA
5.4,1.91,ga1-13_GA,ga1-13,GA
3.46,2.15,ga1-13_GA,ga1-13,GA
2.99,2.57,ga1-13_GA,ga1-13,GA
4.78,2.44,ga1-13_GA,ga1-13,GA
5.26,1.23,ga1-13_GA,ga1-13,GA
4.64,2.86,ga1-13_GA,ga1-13,GA
3.31,1.08,ga1-13_GA,ga1-13,GA
4.52,3.1,ga1-13_GA,ga1-13,GA
5.18,2.03,ga1-13_GA,ga1-13,GA
4.72,2.85,ga1-13_GA,ga1-13,GA
3.85,2.53,ga1-13_GA,ga1-13,GA
4.91,2.94,ga1-13_GA,ga1-13,GA
3.13,1.85,ga1-13_GA,ga1-13,GA
2.9,2.87,ga1-13_GA,ga1-13,GA
5.72,2.61,ga1-13_GA,ga1-13,GA
4.17,3.06,ga1-13_GA,ga1-13,GA
3.34,3.08,ga1-13_GA,ga1-13,GA
7.08,2.07,ga1-13_GA,ga1-13,GA
4.82,2.07,ga1-13_GA,ga1-13,GA
3.45,3.19,ga1-13_GA,ga1-13,GA
3.98,3.11,ga1-13_GA,ga1-13,GA
4.58,2.8,ga1-13_GA,ga1-13,GA
5.51,2.31,ga1-13_GA,ga1-13,GA
2.87,1.52,ga1-13_GA,ga1-13,GA
3.13,2.08,ga1-13_GA,ga1-13,GA
4.77,2.69,ga1-13_GA,ga1-13,GA
4.65,3.07,ga1-13_GA,ga1-13,GA
4.28,0.99,ga1-13_GA,ga1-13,GA
4.66,3.41,ga1-13_GA,ga1-13,GA
5.74,1.83,ga1-13_GA,ga1-13,GA
4.69,2.41,ga1-13_GA,ga1-13,GA
5.38,3.35,ga1-13_GA,ga1-13,GA
2.5,2.86,ga1-13_GA,ga1-13,GA
4.43,2.29,ga1-13_GA,ga1-13,GA
4.81,2.26,ga1-13_GA,ga1-13,GA
4.88,2.65,ga1-13_GA,ga1-13,GA
4.66,2.81,ga1-13_GA,ga1-13,GA
3.54,2.04,ga1-13_GA,ga1-13,GA
3.73,1.77,ga1-13_GA,ga1-13,GA
4.3,2.26,ga1-13_GA,ga1-13,GA
3.85,3.28,ga1-13_GA,ga1-13,GA
6.58,2.02,ga1-13_GA,ga1-13,GA
2.69,2.01,ga1-13_GA,ga1-13,GA
5.03,2.01,ga1-13_GA,ga1-13,GA
2.76,1.84,ga1-13_GA,ga1-13,GA
4.22,1.7,ga1-13_GA,ga1-13,GA
6.38,1.5,ga1-13_GA,ga1-13,GA
5.29,2.04,ga1-13_GA,ga1-13,GA
3.33,2.82,ga1-13_GA,ga1-13,GA
5.38,2.4,ga1-13_GA,ga1-13,GA
1.51,2.23,ga1-13_GA,ga1-13,GA
4.73,2.59,ga1-13_GA,ga1-13,GA
3.98,2.68,ga1-13_GA,ga1-13,GA
3.81,2.41,ga1-13_GA,ga1-13,GA
2.53,2.07,ga1-13_GA,ga1-13,GA
2.43,1.71,ga1-13_GA,ga1-13,GA
4.7,1.75,ga1-13_GA,ga1-13,GA
5.85,2.81,ga1-13_GA,ga1-13,GA
3.54,1.31,ga1-13_GA,ga1-13,GA
5.09,2.6,ga1-13_GA,ga1-13,GA
3.04,2.3,ga1-13_GA,ga1-13,GA
2.08,2.04,ga1-13_GA,ga1-13,GA
4.63,2.41,ga1-13_GA,ga1-13,GA
3.34,2.27,ga1-13_GA,ga1-13,GA
4.92,3.1,ga1-13_GA,ga1-13,GA
3.11,2.19,ga1-13_GA,ga1-13,GA
2.71,1.44,ga1-13_GA,ga1-13,GA
2.76,2.6,ga1-13_GA,ga1-13,GA
2.88,1.62,ga1-13_GA,ga1-13,GA
4.38,1.71,ga1-13_GA,ga1-13,GA
3,2.73,ga1-13_GA,ga1-13,GA
4.18,2.12,ga1-13_GA,ga1-13,GA
4.14,3.12,ga1-13_GA,ga1-13,GA
4.96,2.17,ga1-13_GA,ga1-13,GA
2.56,2.79,ga1-13_GA,ga1-13,GA
2.44,1.69,ga1-13_GA,ga1-13,GA
3.85,3.75,ga1-13_GA,ga1-13,GA
5.35,2.44,ga1-13_GA,ga1-13,GA
6.2,1.55,ga1-13_GA,ga1-13,GA
2.14,1.56,ga1-13_GA,ga1-13,GA
5.82,3.12,ga1-13_GA,ga1-13,GA
3.41,2.92,ga1-13_GA,ga1-13,GA
5.43,0.89,ga1-13_GA,ga1-13,GA
3.08,2.53,ga1-13_GA,ga1-13,GA
4.66,2.47,ga1-13_GA,ga1-13,GA
3.02,1.99,ga1-13_GA,ga1-13,GA
3.42,1.95,ga1-13_GA,ga1-13,GA
5.56,1.75,ga1-13_GA,ga1-13,GA
3.97,2.05,ga1-13_GA,ga1-13,GA
4.05,2.44,ga1-13_GA,ga1-13,GA
3.68,3.08,ga1-13_GA,ga1-13,GA
6.07,1.62,ga1-13_GA,ga1-13,GA
3.99,2.43,ga1-13_GA,ga1-13,GA
2.7,1.75,ga1-13_GA,ga1-13,GA
3.9,1.38,ga1-13_GA,ga1-13,GA
3.7,2.26,ga1-13_GA,ga1-13,GA
4.98,2.08,ga1-13_GA,ga1-13,GA
3.94,2.53,ga1-13_GA,ga1-13,GA
3.83,2.59,ga1-13_GA,ga1-13,GA
4.08,2.47,ga1-13_GA,ga1-13,GA
2.51,3.19,ga1-13_GA,ga1-13,GA
4.55,2.96,ga1-13_GA,ga1-13,GA
4.92,2.42,ga1-13_GA,ga1-13,GA
3.13,1.87,ga1-13_GA,ga1-13,GA
4.39,3.61,ga1-13_GA,ga1-13,GA
4.35,2.23,ga1-13_GA,ga1-13,GA
6.55,2.65,ga1-13_GA,ga1-13,GA
3.52,0.75,ga1-13_GA,ga1-13,GA
2.49,3.12,ga1-13_GA,ga1-13,GA
4.5,2.5,ga1-13_GA,ga1-13,GA
3.73,2.49,ga1-13_GA,ga1-13,GA
3.52,1.87,ga1-13_GA,ga1-13,GA
4.17,2.96,ga1-13_GA,ga1-13,GA
3.71,1.46,ga1-13_GA,ga1-13,GA
4.03,2.28,ga1-13_GA,ga1-13,GA
2.75,2.09,ga1-13_GA,ga1-13,GA
4.01,2.3,ga1-13_GA,ga1-13,GA
4.27,2.68,ga1-13_GA,ga1-13,GA
2.9,2.69,ga1-13_GA,ga1-13,GA
3.74,2.34,ga1-13_GA,ga1-13,GA
4.51,2.87,ga1-13_GA,ga1-13,GA
3.01,2.96,ga1-13_GA,ga1-13,GA
3.49,1.15,ga1-13_GA,ga1-13,GA
4.92,1.97,ga1-13_GA,ga1-13,GA
5.09,2.1,ga1-13_GA,ga1-13,GA
5.12,2.33,ga1-13_GA,ga1-13,GA
3.67,2.36,ga1-13_GA,ga1-13,GA
3.85,1.12,ga1-13_GA,ga1-13,GA
4.27,3.27,ga1-13_GA,ga1-13,GA
3.12,3.38,ga1-13_GA,ga1-13,GA
5.82,2.97,ga1-13_GA,ga1-13,GA
3.69,2.95,ga1-13_GA,ga1-13,GA
5.51,2.87,ga1-13_GA,ga1-13,GA
3.71,2.52,ga1-13_GA,ga1-13,GA
4.42,2.56,ga1-13_GA,ga1-13,GA
5.54,2.22,ga1-13_GA,ga1-13,GA
3.53,2.77,ga1-13_GA,ga1-13,GA
3.87,1.96,ga1-13_GA,ga1-13,GA
3.23,2.84,ga1-13_GA,ga1-13,GA
5.08,2.92,ga1-13_GA,ga1-13,GA
5.66,1.9,ga1-13_GA,ga1-13,GA
4.91,1.88,ga1-13_GA,ga1-13,GA
3.43,1.84,ga1-13_GA,ga1-13,GA
2.94,2.12,ga1-13_GA,ga1-13,GA
4.08,2.52,ga1-13_GA,ga1-13,GA
3.66,3.29,ga1-13_GA,ga1-13,GA
2.91,2.8,ga1-13_GA,ga1-13,GA
4.07,2.98,ga1-13_GA,ga1-13,GA
3.47,1.03,ga1-13_GA,ga1-13,GA
4.71,1.93,ga1-13_GA,ga1-13,GA
5.56,2.75,ga1-13_GA,ga1-13,GA
4.22,2.92,ga1-13_GA,ga1-13,GA
5.69,2.79,ga1-13_GA,ga1-13,GA
4.8,2.47,ga1-13_GA,ga1-13,GA
2.8,3.52,ga1-13_GA,ga1-13,GA
3.09,1.38,ga1-13_GA,ga1-13,GA
3.46,1.41,ga1-13_GA,ga1-13,GA
4.41,2.29,ga1-13_GA,ga1-13,GA
4.02,2.31,ga1-13_GA,ga1-13,GA
4.34,2.06,ga1-13_GA,ga1-13,GA
4.34,2.78,ga1-13_GA,ga1-13,GA
3.98,2.03,ga1-13_GA,ga1-13,GA
4.89,2.5,ga1-13_GA,ga1-13,GA
3.09,2.59,ga1-13_GA,ga1-13,GA
3.82,2.59,ga1-13_GA,ga1-13,GA
2.52,2.46,ga1-13_GA,ga1-13,GA
4.19,1.81,ga1-13_GA,ga1-13,GA
1.82,3.26,ga1-13_GA,ga1-13,GA
5.43,1.67,ga1-13_GA,ga1-13,GA
1.28,2.76,ga1-13_Mock,ga1-13,Mock
0.94,2.66,ga1-13_Mock,ga1-13,Mock
0.35,2.31,ga1-13_Mock,ga1-13,Mock
1.49,2.82,ga1-13_Mock,ga1-13,Mock
0.62,2.52,ga1-13_Mock,ga1-13,Mock
0.46,2.75,ga1-13_Mock,ga1-13,Mock
1.5,2.37,ga1-13_Mock,ga1-13,Mock
0.65,2.92,ga1-13_Mock,ga1-13,Mock
0.9,2.78,ga1-13_Mock,ga1-13,Mock
1.4,3.09,ga1-13_Mock,ga1-13,Mock
1.09,2.73,ga1-13_Mock,ga1-13,Mock
1.01,2.64,ga1-13_Mock,ga1-13,Mock
0.95,2.84,ga1-13_Mock,ga1-13,Mock
1.07,2.9,ga1-13_Mock,ga1-13,Mock
1.75,2.94,ga1-13_Mock,ga1-13,Mock
1.47,2.33,ga1-13_Mock,ga1-13,Mock
1.07,2.48,ga1-13_Mock,ga1-13,Mock
0.93,2.69,ga1-13_Mock,ga1-13,Mock
1.4,2.8,ga1-13_Mock,ga1-13,Mock
0.49,2.85,ga1-13_Mock,ga1-13,Mock
0.82,2.71,ga1-13_Mock,ga1-13,Mock
0.79,3.14,ga1-13_Mock,ga1-13,Mock
0.82,2.84,ga1-13_Mock,ga1-13,Mock
1.18,2.81,ga1-13_Mock,ga1-13,Mock
1.17,2.68,ga1-13_Mock,ga1-13,Mock
0.52,2.47,ga1-13_Mock,ga1-13,Mock
0.82,2.63,ga1-13_Mock,ga1-13,Mock
0.85,2.78,ga1-13_Mock,ga1-13,Mock
1.33,2.79,ga1-13_Mock,ga1-13,Mock
0.85,2.79,ga1-13_Mock,ga1-13,Mock
1.36,2.93,ga1-13_Mock,ga1-13,Mock
0.98,2.73,ga1-13_Mock,ga1-13,Mock
1.24,2.37,ga1-13_Mock,ga1-13,Mock
0.61,2.36,ga1-13_Mock,ga1-13,Mock
