ID	21C Mock 0H	21C Mock 2H	21C GA 2H	4C Mock 2H	4C GA 2H
Gene74	5.577055801	5.732135531	5.689841775	6.404188278	5.632243166
Gene75	5.610227959	5.597087181	5.382841796	6.562257704	5.707823905
Gene76	5.612094788	5.776562219	6.535657582	5.809423559	5.845945363
Gene77	5.615441113	5.536173793	5.593501978	6.325548305	5.800954608
Gene78	5.643791263	5.528688283	5.547987917	6.552658435	6.066543087
Gene79	5.723492387	5.576137827	5.646321267	6.091845073	5.724807929
Gene80	5.72469456	6.014836394	6.508193449	5.894590261	6.014865234
Gene81	5.726182094	5.84873326	5.885670919	7.447231346	6.173829751
Gene82	5.748340218	5.760914012	5.790470333	6.649399733	5.861678202
Gene83	5.797098982	5.863629781	6.021170873	6.735268028	5.800215196
Gene84	5.80099278	5.751965405	5.992940399	8.99803994	6.296632743
Gene85	5.819323804	7.08642323	7.049946375	6.131052852	6.653559833
Gene86	5.831820905	5.646847862	5.764048654	6.672523753	5.685113432
Gene87	5.832690468	5.768726056	5.934942688	7.237847872	6.04569214
Gene88	5.841998802	5.712984523	5.606032779	5.590488385	5.794958705
Gene89	5.864956713	5.968376094	5.900455412	7.451519569	6.012373322
Gene90	5.868111994	6.387900662	5.854891529	5.998028497	6.458511015
Gene91	5.868558156	6.027811923	5.568644622	6.49670053	7.079618175
Gene92	5.912106269	5.909492284	5.959578179	7.046886093	6.004344228
Gene93	5.922663219	6.014025905	6.085226927	5.876522387	6.083993488
Gene94	5.937420066	5.639877588	5.472308349	5.741035406	5.758056582
Gene95	5.940081698	5.846220102	5.779078902	6.685516675	5.973836736
Gene96	5.950221814	6.079095226	6.010155562	7.119961638	5.987745516
Gene97	5.954300376	6.235269453	6.103022639	8.396226882	6.488510031
Gene98	5.966460994	6.033155042	6.281095782	6.713913852	6.02112068
Gene99	5.975956029	6.088795293	6.128969559	7.154680274	6.208283825
Gene100	5.985178519	6.188215451	6.520176352	5.918044475	6.210819489
Gene101	6.001656325	6.008614792	6.063460519	7.116837381	6.311417369
Gene102	6.007281123	5.696569386	5.645537341	6.259538069	6.408560225
Gene103	6.02302694	5.998810583	5.830316232	7.794111847	6.266780324
Gene104	6.028995353	6.869647571	6.651032038	6.687178043	6.91473701
Gene105	6.052468727	6.128203889	5.78911859	6.523289139	6.73289924
Gene106	6.060843465	6.332252728	6.335382219	6.48349885	6.421599446
Gene107	6.077646301	6.35711726	5.659737602	6.872668645	7.07784612
Gene108	6.079682654	6.219763123	6.101079483	7.196435025	6.166819466
Gene109	6.09126735	6.098799786	6.238172859	6.981220952	6.035587517
Gene110	6.093312708	6.678815176	6.757184293	6.522190685	6.504001204
Gene111	6.100774556	6.190340794	6.516131085	6.080166898	6.43053806
Gene112	6.107587243	6.031472596	6.144920156	6.879884775	6.24663693
Gene113	6.120405289	6.401699608	6.39409082	6.660920041	6.234877851
Gene114	6.129102658	6.021970246	6.153188934	6.092747282	5.719376567
Gene115	6.137988247	6.089465196	6.199380662	7.050597507	6.104680161
Gene116	6.15421809	6.429262923	6.512765882	6.572475124	6.477724412
Gene117	6.165971181	6.528614376	6.244756503	6.393258391	6.738930952
Gene118	6.173527628	6.12980539	6.909195132	6.149609009	6.218907467
Gene119	6.193326273	6.033658776	5.768571241	6.080274445	6.24531859
Gene120	6.20160326	6.446488066	6.223026128	6.345783983	6.642671109
Gene121	6.245006634	6.659965247	7.22366074	6.642814058	6.572785051
Gene122	6.259838951	6.339618603	6.401936838	7.565182379	6.416064369
Gene123	6.275583601	6.0322255	6.151352176	7.505901262	6.414149687
Gene124	6.277547061	6.543562842	6.512734295	7.269665996	6.40706316
Gene125	6.283363888	6.156312626	6.197153481	5.978599231	6.230186847
Gene126	6.284524708	6.435368478	6.501453755	6.337129822	6.503448179
Gene127	6.310404985	6.498659933	6.481385814	6.71970727	6.878019838
Gene128	6.322757759	8.301261586	8.015313115	7.222434808	7.472383287
Gene129	6.407376603	6.195541528	6.212268525	7.793775862	6.442147697
Gene130	6.413394035	6.497801332	6.610037366	7.364852981	6.750535214
Gene131	6.413640681	6.513293585	6.477957096	7.622643156	6.60319535
Gene132	6.438811188	6.262294447	6.155478892	6.797019569	6.864074554
Gene133	6.442313623	6.934323415	6.619396684	7.052755534	7.469408723
Gene134	6.491583172	6.470084534	6.6038503	9.419736326	7.236230129
Gene135	6.508387398	7.322536051	6.788463349	7.344341976	7.463052085
Gene136	6.522246015	6.35401612	6.185460872	7.048479588	7.273423424
Gene137	6.572665585	6.593103476	6.711415359	6.329905987	6.597255695
Gene138	6.575113194	6.672954685	6.708844646	7.441076331	7.392442985
Gene139	6.650452724	6.661216993	6.75308257	6.775578706	6.637929441
Gene140	6.656340033	6.734806096	6.556694602	7.872132453	6.795429137
Gene141	6.664540732	6.506759965	6.520616046	7.754994041	6.633762991
Gene142	6.689516504	6.6668182	6.896597186	7.35384321	6.488531151
Gene143	6.717768708	6.722580749	6.915789738	7.207173062	6.956469771
Gene144	6.729999986	7.40687699	7.822403656	6.996948042	6.91077826
Gene145	6.737146338	7.184876257	6.873189746	6.566596274	6.895713754
Gene146	6.752605615	6.236075317	6.581591019	6.291445064	6.565748499
Gene147	6.773236639	6.814339127	6.996585212	7.994951041	7.176711271
Gene148	6.780677667	6.611794769	6.126870517	7.782814561	8.395065581
Gene149	6.792444517	6.704725761	7.018333668	6.629931544	6.916779931
Gene150	6.797944569	6.853918541	6.988819262	8.078619879	7.204052258
Gene151	6.827874858	6.940179733	6.765743986	6.859589275	7.217561636
Gene152	6.838334348	6.5894089	6.641481861	7.967803252	6.832812202
Gene153	6.875972411	6.843473027	7.10879713	8.57206302	7.112302013
Gene154	6.884134108	9.159406041	8.952414237	7.955352594	8.326705672
Gene155	6.897927629	7.611980931	7.734832342	7.015500765	7.099964603
Gene156	6.89871194	7.934461846	7.756099703	7.102725062	7.226964377
Gene157	6.915358709	6.892814594	6.998974542	6.890379266	7.14295527
Gene158	6.922008153	7.1099665	7.200997137	7.856544757	7.025799467
Gene159	6.934769433	6.888625342	7.027020471	7.124802983	6.827844037
Gene160	6.934849011	6.988427627	7.023225794	8.279112777	7.232933804
Gene161	6.935527583	7.180797966	7.38250793	10.35263069	8.108851164
Gene162	6.940399391	7.084116204	7.28224086	6.759564605	7.121088658
Gene163	6.952994344	6.643119474	6.277642843	6.327455001	6.388324562
Gene164	6.958257362	7.695285919	7.933913002	7.11946415	7.198014104
Gene165	6.961052969	6.827918705	6.714826015	6.722903396	6.917829815
Gene166	6.971810417	6.597872265	6.24231272	7.284398729	6.714040368
Gene167	6.986767869	9.278021666	9.005525763	8.085185125	8.389263788
Gene168	6.999184265	6.884184426	6.859883565	8.031426986	6.926601012
Gene169	7.048910989	7.768611399	8.0620002	7.276620659	7.194293248
Gene170	7.061545211	6.952506457	7.183490217	8.423184698	7.260695076
Gene171	7.066425778	6.955854401	7.244249087	10.19043738	7.384789444
Gene172	7.067611401	6.934367159	6.750181127	7.01750485	7.083064018
Gene173	7.077583394	7.169159372	7.338583813	10.94080185	8.043003541
Gene174	7.092903862	7.383096406	7.476985699	8.442789541	8.582237864
Gene175	7.119027238	6.972389108	6.890778888	6.848173558	6.93208893
Gene176	7.126966618	7.206838982	7.164553258	7.300370525	7.588475852
Gene177	7.131221501	7.266509364	7.453072698	7.302460702	7.548881042
Gene178	7.13514783	7.174875653	7.296502803	7.409390455	7.329216987
Gene179	7.162671271	7.149481892	7.274409168	8.86339134	7.6492611
Gene180	7.170738256	6.751513165	6.860474657	7.233299912	7.482781211
Gene181	7.204258752	7.294777349	7.22660482	7.557150753	7.324136732
Gene182	7.206199304	7.012669765	7.119756795	8.499844283	7.32690836
Gene183	7.216029624	7.534897943	7.255539494	7.170651909	7.644772458
Gene184	7.267057358	7.214049411	7.388505755	7.681384198	7.301093246
Gene185	7.268261718	7.580242901	7.37362018	7.749150797	8.125837412
Gene186	7.274704499	6.857337614	6.763204514	6.972768743	7.284490712
Gene187	7.295178072	7.601483589	8.052007931	7.088596581	7.462405084
Gene188	7.301629997	7.556417707	7.290518772	7.628528334	7.941816138
Gene189	7.317771123	7.228721223	7.271465859	7.285271857	7.582395629
Gene190	7.328381532	7.303115695	7.39402766	7.807157528	7.462819127
Gene191	7.338594839	7.15462339	8.034641142	7.934062612	7.312147853
Gene192	7.362331136	7.95247092	7.452104448	8.275248787	8.763088821
Gene193	7.364591037	8.753404223	8.559972676	8.570829953	8.818036401
Gene194	7.377736703	7.593199807	7.308147097	7.264441826	7.568556169
Gene195	7.382797774	8.787305834	8.587128342	8.588963574	8.844493921
Gene196	7.383095428	7.474986236	7.599797281	7.393521458	7.102694526
Gene197	7.385006468	7.083107407	6.788389305	7.220493216	7.255057409
Gene198	7.421447288	7.867031496	7.697154836	7.762632769	7.395612434
Gene199	7.427533693	7.646829261	7.690178543	7.313308181	7.709966333
Gene200	7.444213753	7.643606524	7.295932094	7.157920123	7.584824997
Gene201	7.445197624	7.648860859	7.698997279	9.099609487	7.761946197
Gene202	7.456381769	7.434815327	7.879523547	7.951897087	7.555518987
Gene203	7.468825204	7.876018618	7.893434076	7.401387163	7.421446887
Gene204	7.46997786	7.177201953	7.105141287	7.735331863	7.987530592
Gene205	7.475962279	7.47577262	7.43322523	7.663769852	7.977543189
Gene206	7.479745959	8.407413583	8.932441448	7.543704479	7.653175937
Gene207	7.48228378	7.697714464	7.475974315	7.589121351	7.688123891
Gene208	7.484031403	8.820332684	8.599100988	8.666019319	9.038249555
Gene209	7.485201123	7.913725371	7.916172813	7.448337954	7.459444288
Gene210	7.494790629	7.65503167	7.412614091	8.106574486	8.383796494
Gene211	7.497392647	8.169858691	7.630380567	8.040656885	8.386696043
Gene212	7.506215899	7.557809442	7.56158655	7.126134904	7.447014901
Gene213	7.509802622	7.578013469	7.224517553	7.506891416	7.627886013
Gene214	7.516875063	6.84182548	6.764946838	7.566958707	7.641590799
Gene215	7.522250807	7.551076643	6.929043387	8.676391945	9.129063197
Gene216	7.526061125	7.960327446	7.636093228	7.919404901	8.289231485
Gene217	7.546296742	7.395644047	7.460487679	7.802792336	7.344195018
Gene218	7.547028452	7.726047474	8.008607053	8.546488749	7.558955847
Gene219	7.55440163	7.881531679	7.880426469	7.687442144	7.985972827
Gene220	7.568923422	7.242970763	7.569763093	8.2472064	7.553478253
Gene221	7.574547552	7.611151398	7.710608142	8.491099507	7.595821204
Gene222	7.582343061	7.704527559	7.616227618	7.71218688	7.838556027
Gene223	7.582479617	7.603532523	7.824506887	8.332678199	7.887627882
Gene224	7.611559876	7.849089538	7.776014991	8.014849476	7.652880751
Gene225	7.614152468	7.72083276	7.750837211	7.799944706	7.530336194
Gene226	7.615867428	7.806482226	7.922350732	10.90157575	8.346013804
Gene227	7.626347328	7.731942367	7.644692776	7.906196078	7.722923839
Gene228	7.6318516	7.38752427	7.504133025	7.704153887	7.666911214
Gene229	7.637635375	7.583973621	7.746000962	7.91479119	7.394566056
Gene230	7.653900506	7.746454926	8.322012375	7.339327423	7.638259912
Gene231	7.674147373	7.773087024	7.626106581	9.268779141	7.91111231
Gene232	7.682378401	7.640531712	7.804312896	7.872405407	7.597236174
Gene233	7.701068746	7.49493858	7.50259107	7.585019333	7.753972372
Gene234	7.702161857	8.478364774	7.970493732	8.255456816	8.584269108
Gene235	7.706985793	7.647944064	7.66598948	9.300520893	8.043657595
Gene236	7.714354196	7.550369155	7.8450498	9.862345803	8.334132379
Gene237	7.721244637	7.696992921	7.699869252	9.143567245	7.786565402
Gene238	7.733152826	7.56575805	7.547606944	9.33628201	7.883715075
Gene239	7.735753338	7.516285631	7.598480054	8.830665636	7.665378121
Gene240	7.759911244	7.835435802	8.025892817	8.315979241	7.879579281
Gene241	7.768755905	7.933347327	7.289795348	9.753498431	10.26681906
Gene242	7.774802116	8.186651039	8.065108499	7.478096381	7.176555825
Gene243	7.777776168	8.008881371	8.133869452	8.380501012	8.142403726
Gene244	7.780404179	7.868785268	7.693993163	7.276201303	7.807622087
Gene245	7.783686117	8.063670206	8.103085496	8.177408622	7.892118943
Gene246	7.78772386	8.17282496	8.816746051	7.881090918	7.804796998
Gene247	7.802971917	7.995902654	8.017598124	8.12888833	7.773943452
Gene248	7.8123728	7.759153907	8.030343903	8.373798995	7.963496654
Gene249	7.813291096	8.022095484	8.485627628	7.90940732	7.840654191
Gene250	7.833644301	8.019278529	7.619609757	8.878041455	9.398293664
Gene251	7.843262227	7.661579973	7.690571198	7.822440012	7.896423727
Gene252	7.848616107	8.016384064	8.035445308	7.944363509	8.093710046
Gene253	7.848712661	7.663356599	7.231317822	7.010891979	7.117659932
Gene254	7.864048584	7.640418098	7.660317438	8.43360544	8.783870796
Gene255	7.864722739	7.756582119	7.741104806	9.053636334	7.848414735
Gene256	7.865815271	7.57173493	7.463813759	8.274175759	8.471169666
Gene257	7.867846411	8.007337168	8.432393601	7.871105445	7.090141666
Gene258	7.869706985	7.505474084	7.870055018	8.424749722	8.776666867
Gene259	7.874105391	8.063043035	8.232082306	11.63107961	8.703086794
Gene260	7.882592194	7.925370985	8.779157246	8.11340602	7.657474309
Gene261	7.886781014	7.847166876	8.002619627	8.009413904	7.72803896
Gene262	7.891890804	7.949879036	8.098673819	11.46002875	8.700938181
Gene263	7.899643085	7.811533542	7.825543492	8.942325767	7.883322041
Gene264	7.917687892	8.371008709	8.20502237	8.098384166	7.761771392
Gene265	7.918179246	7.979645917	7.994043281	8.402138632	7.910375416
Gene266	7.925483046	7.850435961	7.675070539	8.772157887	9.481066848
Gene267	7.926280733	8.101813086	8.184642533	8.29839992	8.28546716
Gene268	7.926653404	8.588344179	7.634504166	9.046016617	9.378862089
Gene269	7.926826755	7.910857678	7.752912475	8.33677685	8.706609226
Gene270	7.927378446	7.979036151	8.333767013	11.78020765	8.654920749
Gene271	7.935984762	7.94164636	7.974029718	8.147870167	7.896067722
Gene272	7.942313117	7.973298517	7.443646462	8.99041072	9.392358965
Gene273	7.948189523	9.218942647	8.102913605	9.514256592	9.846413732
Gene274	7.948930692	7.838513671	7.751420401	7.799613578	7.924773919
Gene275	7.948996193	7.668315256	7.564207652	7.695114039	7.837901579
Gene276	7.960338091	8.001195508	8.070943581	8.879297258	7.909877839
Gene277	7.963987112	8.16398445	8.003094255	8.941766794	9.325414688
Gene278	7.978351723	8.498595352	8.08755401	8.419446536	8.762827852
Gene279	7.990205154	8.285904074	7.388429109	9.120811009	9.514835715
Gene280	8.008654615	8.034423892	8.288160481	8.165849885	7.980616495
Gene281	8.011476229	8.040941917	8.149397622	8.219849508	7.907458166
Gene282	8.020800075	8.075346755	8.1623097	8.243372635	7.927415744
Gene283	8.032059838	7.876682714	8.145954581	8.237152261	7.992796108
Gene284	8.040450456	8.089084974	8.237142655	8.151610944	8.016353215
Gene285	8.060368483	8.40840618	8.417505495	8.619944517	8.324820327
Gene286	8.081493304	8.169106019	8.359607517	8.30985656	8.053680933
Gene287	8.081742809	8.26918409	8.540647896	8.642820183	8.266325172
Gene288	8.08220057	8.328441142	8.357448915	8.308017577	8.220028478
Gene289	8.089096992	8.39628864	8.155498239	8.671395711	9.035908405
Gene290	8.091496852	7.803126145	7.154230363	8.58512814	8.854587951
Gene291	8.09389939	8.288481845	8.556988235	8.65708377	8.293887516
Gene292	8.094279865	8.394092394	8.462750954	8.286263055	8.117844479
Gene293	8.099878252	7.569553481	7.615017184	7.084010393	7.223550028
Gene294	8.104971777	8.384103925	8.364000349	8.473785838	8.226140629
Gene295	8.108607004	9.012429658	9.164015266	8.072538801	8.233599995
Gene296	8.109213909	7.815723935	7.705846889	7.660903452	8.014684002
Gene297	8.124420668	8.560302011	8.689948049	8.192987192	8.226115858
Gene298	8.125178368	8.017765522	7.944585217	8.610258149	8.741668062
Gene299	8.127656518	8.106389905	8.106646751	8.495199002	8.052719655
Gene300	8.128601787	8.38967523	8.2614251	8.610457333	8.859049414
Gene301	8.155328029	7.96077619	7.947050235	7.863608449	8.24236815
Gene302	8.164334569	8.393084604	7.905380633	8.041135374	8.377586597
Gene303	8.171976245	8.212495421	8.415077223	8.619360202	8.21422232
Gene304	8.184103211	8.529495266	8.468488701	7.677232731	7.823713456
Gene305	8.184877526	8.40683364	8.209475341	8.766704342	9.389951749
Gene306	8.18746913	8.332761775	8.332108612	8.473564341	8.16362256
Gene307	8.187787415	8.190824645	8.281395582	8.348495045	8.035685341
Gene308	8.203001283	8.440518918	8.263257471	8.407814448	8.65355362
Gene309	8.22567663	8.344878735	8.459108867	8.300208544	8.043478593
Gene310	8.236889921	8.749398897	8.515880211	8.375493729	8.857730748
Gene311	8.24058466	8.66295432	8.872612115	8.425082459	8.267747933
Gene312	8.241298717	8.373289856	8.355825268	8.437886238	8.10575507
Gene313	8.247617961	9.337515314	8.312229927	9.79914395	10.15837657
Gene314	8.249665312	7.808562882	7.275749294	8.518048523	8.931310113
Gene315	8.259443356	7.862446473	7.778501662	8.25638687	8.373383897
Gene316	8.259542546	8.379997369	8.665521975	8.519925054	8.208498648
Gene317	8.265738	8.245052191	8.291333948	8.259459716	8.162075088
Gene318	8.271564169	8.272780126	8.359043394	8.513132274	8.108697517
Gene319	8.276522633	7.954231256	7.884604081	8.046652462	8.069280473
Gene320	8.2774612	8.399321972	8.588173427	8.574600155	8.267109398
Gene321	8.284705006	8.055435626	7.982025688	8.620653899	8.192341381
Gene322	8.294728173	8.443791933	8.512669324	8.412913374	8.247803099
Gene323	8.30519485	8.466583489	8.607536358	8.582392493	8.333823526
Gene324	8.315968567	8.414371688	8.117801721	8.114371985	8.406742722
Gene325	8.318776691	8.430933058	8.407558051	8.184080993	8.400988736
Gene326	8.319659219	8.344269868	8.654743537	8.698690052	8.538501594
Gene327	8.321600669	8.260639892	8.186126267	8.411292967	8.465304739
Gene328	8.330534444	8.481740464	8.503232673	8.547072619	8.13866725
Gene329	8.335010619	8.328558929	8.521679223	8.586725599	8.188745737
Gene330	8.340748608	8.345531519	8.401511305	8.487244477	8.226040889
Gene331	8.349223476	8.484787634	8.381722251	8.513647909	8.255295479
Gene332	8.349347463	8.120253683	8.221565894	8.582480748	8.223668931
Gene333	8.362335558	8.280014414	8.172523528	9.891696612	8.881898439
Gene334	8.371082769	8.303572481	8.449107831	8.798580236	8.456607351
Gene335	8.384564117	8.293538557	8.40853957	8.43233249	8.261895891
Gene336	8.385701429	8.311744502	8.512830735	8.457712858	8.166813591
Gene337	8.393046864	8.335284237	7.721721854	7.732846301	7.967404002
Gene338	8.411509545	8.589284595	8.586501218	8.663751768	8.431081074
Gene339	8.419048815	8.188565029	7.940488807	8.148019318	8.079245202
Gene340	8.421198117	8.454320747	8.340805639	8.126273513	8.262637674
Gene341	8.427678273	8.47376413	8.532296309	8.673847647	8.49098494
Gene342	8.431310578	8.546187619	8.651992322	8.655449281	8.380042462
Gene343	8.434723445	8.279492074	8.368434859	8.571871957	8.402447311
Gene344	8.434769148	8.534110292	8.468560931	8.417852353	8.636343093
Gene345	8.438181265	8.593671676	8.653896595	8.738257815	8.462455347
Gene346	8.44356087	8.23230466	8.167402628	8.4185924	8.261582248
Gene347	8.446297837	8.579233427	8.407718749	8.4140487	9.040663325
Gene348	8.453773455	8.530176779	8.500109936	9.829808692	8.756054792
Gene349	8.474010858	8.504045781	8.651646169	10.36253659	8.704231035
Gene350	8.47455342	9.480982938	9.244378324	9.003949405	9.646313327
Gene351	8.48002367	8.579613978	8.725494933	8.772311877	8.418322188
Gene352	8.492517848	9.297681682	9.413441893	9.658402254	10.07354651
Gene353	8.498870741	8.542967047	8.601289158	8.587235947	8.338575824
Gene354	8.50189999	8.602583518	8.102242684	9.98736688	10.50298753
Gene355	8.50234315	8.502415848	8.568835849	8.716371287	8.470475348
Gene356	8.509353835	8.480300336	8.463429208	10.13917818	8.720214742
Gene357	8.510930489	8.784784316	8.855359932	8.850912426	8.656864027
Gene358	8.513780341	8.586205962	8.719846905	12.15797206	9.278417882
Gene359	8.515241306	8.583360791	7.862287442	8.85976807	9.152561316
Gene360	8.547357783	9.040558778	9.571036436	8.591963285	8.538924338
Gene361	8.556181124	9.083831638	8.747189506	9.399252669	9.571387942
Gene362	8.558322035	8.496955811	8.840825523	9.025516208	8.604779201
Gene363	8.560701864	8.712314087	8.428880346	9.48233998	9.884007356
Gene364	8.561523606	8.556045037	8.279329541	8.903735452	9.310132704
Gene365	8.568952216	8.498040848	8.490627721	9.604365485	8.970142958
Gene366	8.581501395	8.210075222	8.175169638	8.48225558	8.61901682
Gene367	8.583608348	8.485234906	8.492110612	8.618928715	8.421856865
Gene368	8.600682218	8.639135857	8.749204667	8.789347635	8.625478634
Gene369	8.607159685	8.84331909	8.85841691	8.741701943	8.600356544
Gene370	8.62009221	8.540496831	8.734775072	8.877894976	8.58365224
Gene371	8.628678976	8.765264279	8.919120871	8.69313462	8.345300102
Gene372	8.631710478	8.626936881	8.908527606	8.989643693	8.539421204
Gene373	8.641972434	8.749225896	8.959257807	9.17394776	8.819325105
Gene374	8.642793938	8.65309643	8.902813128	8.951678494	8.545204025
Gene375	8.651373183	8.675734793	8.64419011	10.23333965	8.888843899
Gene376	8.657412923	9.599385316	9.524673971	8.550828813	9.390876316
Gene377	8.661876764	8.582746227	8.577206986	10.24922463	10.51719884
Gene378	8.674675456	8.928551152	8.817523313	8.678533425	8.714220812
Gene379	8.678932802	9.186217659	8.748826842	8.736643657	9.076593962
Gene380	8.681161823	8.64505794	8.285780484	9.150285949	9.421788458
Gene381	8.681691771	8.396364106	8.652362374	8.514319318	8.117217363
Gene382	8.69704654	8.814758151	8.65447743	8.82317087	8.978287751
Gene383	8.697076396	8.594584682	9.326634329	8.739738058	8.383792659
Gene384	8.702814194	8.632230821	8.307769606	8.73929137	8.612550645
Gene385	8.722486376	8.806008031	8.730191757	8.876366832	8.784462668
Gene386	8.73273674	8.825893001	8.83105108	8.62141671	8.76861155
Gene387	8.734143911	8.795710645	8.897611686	8.902211461	8.675315776
Gene388	8.744362626	8.838492227	9.116917353	12.7706868	9.649865094
Gene389	8.746984835	8.730458748	8.580226983	8.914134134	8.926864102
Gene390	8.748280563	9.354395866	9.635190394	8.735171346	8.606105179
Gene391	8.755739982	9.553462626	9.648567855	10.14075377	10.96805359
Gene392	8.756615073	8.869321208	8.697594523	8.645495092	8.77918632
Gene393	8.75748839	8.775069134	8.853533332	8.631260199	8.834360893
Gene394	8.766893017	8.551605738	8.546775277	8.253022021	8.291622352
Gene395	8.777871562	9.207446497	9.23298521	9.10705648	8.787668585
Gene396	8.781846653	8.92839657	8.961674752	9.006336996	8.754067685
Gene397	8.78621649	8.813561366	8.815931817	9.041797932	8.901434467
